"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-02","7.61"," 1916"," 1915","0.07",,,,"72","83","60",,"  320","  320","0.0","29.1","38.9","    1",,"    1",,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-03","9.84"," 1132"," 1150","0.00",,"0.0","0.0","64","73","55",,"  330","  330","0.0","21.9","29.1",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-04","7.38"," 1536"," 1225","0.00",,"0.0","0.0","63","72","54",,"  170","  190","0.0","14.1","17.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-05","11.18"," 1427"," 1434","0.00",,"0.0","0.0","61","69","53",,"  100","  100","0.0","23.9","29.1",,,,,,,,,,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-06","14.32"," 1632"," 1518","4.87",,"0.0","0.0","55","60","49",,"   30","   20","0.0","23.9","30.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-07","10.96"," 1008"," 1008","0.31",,"0.0","0.0","61","73","48",,"  360","  360","0.0","21.9","29.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-08","8.28"," 1846"," 1841","0.00",,"0.0","0.0","62","73","50",,"  220","  200","0.0","17.9","21.9",,,,,,,,,,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-09","10.29"," 1335"," 1334","0.00",,"0.0","0.0","74","84","63",,"  230","  230","0.0","21.0","23.9","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-10","10.29"," 1528"," 1441","0.00",,"0.0","0.0","78","88","67",,"  220","  240","0.0","21.0","25.9","    1",,,,,,,"    1",,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-11","10.29"," 1959"," 1950","0.42",,"0.0","0.0","77","90","63",,"  300","  310","0.0","21.0","25.9","    1",,"    1",,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-12","8.72"," 1424"," 0046","0.51",,"0.0","0.0","59","63","55",,"   60","  130","0.0","15.0","19.9","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-13","8.95"," 1825"," 1823","0.01",,"0.0","0.0","58","61","54",,"   90","  100","0.0","14.1","17.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-14","8.72"," 1013"," 1028","0.01",,"0.0","0.0","57","61","53",,"  110","  110","0.0","16.1","19.9",,,,,,,,,,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-15","5.82"," 0816"," 1408","0.03",,"0.0","0.0","66","74","57",,"  140","  170","0.0","11.0","14.1","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-16","10.51"," 1016"," 1048","0.00",,"0.0","0.0","72","79","65",,"  210","  220","0.0","21.0","25.9","    1","    1",,,,,,"    1",,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-17","10.29"," 1801"," 1404","0.00",,"0.0","0.0","78","88","67",,"  320","  230","0.0","21.9","25.9",,,,,,,,"    1",,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-18","4.25"," 1300"," 1317","0.19",,"0.0","0.0","69","73","64",,"  110","  110","0.0","15.0","17.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-19","5.59"," 1524"," 1524","0.00",,"0.0","0.0","64","71","57",,"  330","  330","0.0","11.0","14.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-20","6.26"," 1305"," 1305","0.00",,"0.0","0.0","68","80","56",,"  320","  320","0.0","15.0","19.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-21","14.99"," 1509"," 1509","0.00",,"0.0","0.0","71","76","66",,"  210","  210","0.0","25.9","34.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-22","9.17"," 1547"," 0001","0.00",,"0.0","0.0","76","82","69",,"  210","  220","0.0","17.9","23.9",,,,,,,,,,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-23","6.71"," 0909"," 1413","0.00",,"0.0","0.0","73","82","63",,"  320","  330","0.0","16.1","17.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-24","6.49"," 1730"," 2249","0.00",,"0.0","0.0","71","82","59",,"  190","  210","0.0","14.1","16.1",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-25","13.20"," 1442"," 1419","0.00",,"0.0","0.0","75","80","70",,"  200","  210","0.0","23.9","31.1","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-26","10.96"," 1704"," 1703","0.00",,"0.0","0.0","77","83","70",,"  230","  230","0.0","21.0","25.1","    1",,,,,,,"    1",,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-27","8.95"," 1526"," 1525","0.21",,"0.0","0.0","77","85","69",,"  310","  310","0.0","23.0","29.1","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,"    1"
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-28","4.92"," 1209"," 1201","0.01",,"0.0","0.0","73","80","66",,"  160","  170","0.0","13.0","16.1",,,,,,,,,,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-29","5.59"," 0819"," 0823","0.10",,"0.0","0.0","67","71","63",,"  100","  100","0.0","11.0","14.1",,,,,,,,,,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-30","6.93"," 1435"," 1458","0.00",,"0.0","0.0","71","79","63",,"  310","  270","0.0","16.1","17.9","    1",,,,,,,"    1",,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-01","6.04"," 1323"," 1602","0.00",,"0.0","0.0","70","82","57",,"  360","  230","0.0","14.1","16.1",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-02","6.93"," 1730"," 1728","0.00",,"0.0","0.0","72","84","60",,"  200","  200","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-03","8.95"," 1818"," 1818","0.01",,"0.0","0.0","73","80","65",,"  220","  220","0.0","16.1","19.9","    1",,,,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-04","8.50"," 1616"," 1558","0.00",,"0.0","0.0","76","82","69",,"  210","  210","0.0","15.0","17.9","    1",,,,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-05","8.72"," 1640"," 1344","0.00",,"0.0","0.0","77","86","67",,"  360","  350","0.0","15.0","21.0","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-06","6.93"," 1542"," 1450","0.00",,"0.0","0.0","70","79","61",,"  360","  300","0.0","13.0","17.0",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-07","10.74"," 1723"," 1721","0.00",,"0.0","0.0","70","79","61",,"  350","  350","0.0","19.9","23.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-08","10.29"," 1258"," 1129","0.00",,"0.0","0.0","68","79","57",,"  320","  350","0.0","17.9","23.0",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-09","11.86"," 2029"," 1812","0.01",,"0.0","0.0","69","79","59",,"  230","  220","0.0","23.0","31.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-10","11.86"," 1350"," 1349","0.03",,"0.0","0.0","82","92","71",,"  300","  310","0.0","23.0","25.9","    1",,,,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-11","8.50"," 1435"," 1232","0.00",,"0.0","0.0","73","83","63",,"  330","  320","0.0","15.0","19.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-12","8.72"," 0825"," 0857","0.00",,"0.0","0.0","73","83","63",,"  360","   10","0.0","16.1","21.0",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-13","7.61"," 1338"," 1458","0.00",,"0.0",,"71","84","58",,"  210","  220","0.0","16.1","17.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-14","9.62"," 2329"," 2328","0.00",,"0.0","0.0","72","79","64",,"  160","  150","0.0","19.9","23.9",,,"    1",,,,,,,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-15","11.86"," 1212"," 1211","1.02",,"0.0","0.0","70","73","67",,"  120","  120","0.0","23.0","29.1","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-16","7.61"," 1211"," 1211","0.01",,"0.0","0.0","72","78","66",,"  160","  160","0.0","15.0","17.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-17","7.83"," 1239"," 1238","0.00",,"0.0","0.0","72","78","65",,"  150","  150","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-18","11.18"," 1424"," 1426","0.00",,"0.0","0.0","77","87","67",,"  230","  230","0.0","23.0","28.0","    1",,,,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-19","3.80"," 2359"," 2358","0.09",,"0.0","0.0","64","71","57",,"  360","  360","0.0","16.1","19.9",,,,,,,,,,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-20","7.16"," 1121"," 1128","0.00",,"0.0","0.0","69","76","61",,"   50","   60","0.0","17.9","21.0",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-21","10.07"," 1537"," 1537","0.00",,"0.0","0.0","68","78","58",,"  200","  210","0.0","21.0","25.1","    1",,,,,,,"    1",,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-22","7.38"," 1310"," 1258","0.00",,"0.0","0.0","73","81","64",,"  200","  190","0.0","16.1","19.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-23","4.70"," 1559"," 1342","0.00",,"0.0","0.0","68","78","58",,"  160","  190","0.0","14.1","16.1",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-24","6.04"," 1431"," 1213","0.00",,"0.0","0.0","71","79","62",,"  140","  100","0.0","14.1","16.1",,,,,,,,,,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-25","6.71"," 1229"," 1228","0.01",,"0.0","0.0","68","73","63",,"   60","   60","0.0","14.1","17.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-26","8.72"," 2137"," 1618","2.41",,"0.0","0.0","67","70","64",,"   90","   80","0.0","17.0","21.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-27","7.83"," 1037"," 1037","0.31",,"0.0","0.0","68","70","65",,"   60","   60","0.0","13.0","15.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-28","5.82"," 0526"," 0117","0.00",,"0.0","0.0","67","70","64",,"   30","   30","0.0","11.0","14.1",,,,,,,,,,,,"    1",,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-29","4.03"," 1509"," 1433","0.00",,"0.0","0.0","69","73","64",,"  150","  160","0.0","10.1","14.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-30","6.26"," 1706"," 2137","0.06",,"0.0","0.0","69","74","63",,"  110","  130","0.0","13.0","14.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-07-31","6.71"," 1716"," 1712","0.14",,"0.0","0.0","71","76","65",,"   90","   80","0.0","13.0","15.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-01","6.49"," 0739"," 0738","0.51",,"0.0","0.0","71","76","65",,"   30","   40","0.0","14.1","17.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-02","8.50"," 1607"," 1720","0.16",,"0.0","0.0","77","83","70",,"  220","  220","0.0","17.9","21.0","    1",,"    1",,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-03","8.72"," 2040"," 2040","0.36",,"0.0","0.0","74","79","69",,"  270","  270","0.0","17.9","21.9","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-04","4.70"," 0817"," 0815","0.03",,"0.0","0.0","75","80","69",,"  360","  360","0.0","13.0","16.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-05","7.16"," 1707"," 1706","0.00",,"0.0","0.0","73","80","66",,"  230","  240","0.0","13.0","17.0",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-06","8.72"," 1918"," 1707","0.08",,"0.0","0.0","69","78","60",,"  190","  180","0.0","17.0","23.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-07","9.84"," 1207"," 1203","0.30",,"0.0",,,"86","74",,"  230","  220","0.0","19.9","23.9","    1",,,,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-08","3.13",,,"0.00",,"0.0",,,"88","74",,,,"0.0",,"0.0","    1","    1",,,,,,,,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-09","8.50"," 1248"," 1247","0.00",,"0.0","0.0","79","84","74",,"  210","  210","0.0","17.0","21.9",,,,,,,,"    1",,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-10","6.49"," 1445"," 1445","0.21",,"0.0","0.0","78","85","71",,"  200","  200","0.0","15.0","17.9","    1",,"    1",,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-11","4.92"," 1042"," 1042","0.08",,"0.0","0.0","75","82","68",,"   40","   40","0.0","14.1","15.0","    1",,,,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-12","10.07"," 2039"," 2038","0.00",,"0.0","0.0","69","72","65",,"   60","   50","0.0","21.0","28.0","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-13","12.75"," 1230"," 1229","0.18",,"0.0","0.0","67","70","64",,"   50","   40","0.0","21.0","25.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-14","12.08"," 0900"," 0859","0.49",,"0.0","0.0","66","68","63",,"   20","   20","0.0","23.0","28.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-15","9.17"," 0846"," 0806","0.00",,"0.0","0.0","73","80","66",,"  360","  360","0.0","16.1","19.9",,,,,,,,,,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-16","10.07"," 1536"," 1535","0.36",,"0.0","0.0","75","85","64",,"  300","  300","0.0","21.9","25.9","    1",,"    1",,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-17","7.16"," 1148"," 1147","0.00",,"0.0","0.0","67","75","58",,"  310","  310","0.0","17.9","23.0",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-18","5.14"," 1214"," 1950","0.39",,"0.0","0.0","66","70","61",,"  180","   30","0.0","13.0","15.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-19","8.28"," 1311"," 0936","0.00",,"0.0","0.0","69","77","61",,"  330","  360","0.0","16.1","21.9","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-20","8.50"," 0908"," 0907","0.00",,"0.0","0.0","64","72","56",,"  350","   10","0.0","17.0","23.0",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-21","6.71"," 1507"," 1506","0.00",,"0.0","0.0","64","74","53",,"  360","  360","0.0","15.0","17.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-22","5.37"," 1736"," 1514","0.00",,"0.0","0.0","66","76","55",,"  220","  230","0.0","13.0","21.0",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-08-23","11.18"," 1959"," 1735","0.09",,"0.0","0.0","68","73","62",,"  220","  220","0.0","19.9","25.1",,,,,,,,,,,,,,"    1",,,,,,
